hardware_platform,compiler,threads_num,directive_name,overhead,benchmark_class
Fulhame,ARM 20.0,64,PRIVATE 1,138.6121,Array
Fulhame,ARM 20.0,64,FIRSTPRIVATE 1,112.967,Array
Fulhame,ARM 20.0,64,COPYPRIVATE 1,284.2855,Array
Fulhame,ARM 20.0,64,COPYIN 1,174.4386,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,ARM 20.0,8,PRIVATE 1,14.5867,Array
Fulhame,ARM 20.0,8,FIRSTPRIVATE 1,7.731,Array
Fulhame,ARM 20.0,8,COPYPRIVATE 1,15.4704,Array
Fulhame,ARM 20.0,8,COPYIN 1,8.4171,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,GNU 10.1,1,PRIVATE 1,0.7434,Array
Fulhame,GNU 10.1,1,FIRSTPRIVATE 1,0.7537,Array
Fulhame,GNU 10.1,1,COPYPRIVATE 1,1.7459,Array
Fulhame,GNU 10.1,1,COPYIN 1,1.2096,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,GNU 10.1,16,PRIVATE 1,182.274,Array
Fulhame,GNU 10.1,16,FIRSTPRIVATE 1,2.7966,Array
Fulhame,GNU 10.1,16,COPYPRIVATE 1,6.4337,Array
Fulhame,GNU 10.1,16,COPYIN 1,4.0443,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,GNU 10.1,2,PRIVATE 1,1.3829,Array
Fulhame,GNU 10.1,2,FIRSTPRIVATE 1,1.3696,Array
Fulhame,GNU 10.1,2,COPYPRIVATE 1,2.4541,Array
Fulhame,GNU 10.1,2,COPYIN 1,1.9341,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,GNU 10.1,32,PRIVATE 1,112.19,Array
Fulhame,GNU 10.1,32,FIRSTPRIVATE 1,4.4207,Array
Fulhame,GNU 10.1,32,COPYPRIVATE 1,10.8774,Array
Fulhame,GNU 10.1,32,COPYIN 1,6.1459,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,GNU 10.1,4,PRIVATE 1,1.4924,Array
Fulhame,GNU 10.1,4,FIRSTPRIVATE 1,1.5763,Array
Fulhame,GNU 10.1,4,COPYPRIVATE 1,3.7257,Array
Fulhame,GNU 10.1,4,COPYIN 1,2.3942,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,GNU 10.1,64,PRIVATE 1,930.3298,Array
Fulhame,GNU 10.1,64,FIRSTPRIVATE 1,803.08,Array
Fulhame,GNU 10.1,64,COPYPRIVATE 1,1398.6863,Array
Fulhame,GNU 10.1,64,COPYIN 1,683.9372,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,GNU 10.1,8,PRIVATE 1,154.5769,Array
Fulhame,GNU 10.1,8,FIRSTPRIVATE 1,2.1195,Array
Fulhame,GNU 10.1,8,COPYPRIVATE 1,4.8882,Array
Fulhame,GNU 10.1,8,COPYIN 1,2.9772,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,GNU 9.2,1,PRIVATE 1,0.7134,Array
Fulhame,GNU 9.2,1,FIRSTPRIVATE 1,0.7175,Array
Fulhame,GNU 9.2,1,COPYPRIVATE 1,1.6689,Array
Fulhame,GNU 9.2,1,COPYIN 1,1.1738,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,GNU 9.2,16,PRIVATE 1,147.5814,Array
Fulhame,GNU 9.2,16,FIRSTPRIVATE 1,7.719,Array
Fulhame,GNU 9.2,16,COPYPRIVATE 1,16.5924,Array
Fulhame,GNU 9.2,16,COPYIN 1,11.6801,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,GNU 9.2,2,PRIVATE 1,1.279,Array
Fulhame,GNU 9.2,2,FIRSTPRIVATE 1,1.2691,Array
Fulhame,GNU 9.2,2,COPYPRIVATE 1,2.3954,Array
Fulhame,GNU 9.2,2,COPYIN 1,2.2215,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,GNU 9.2,32,PRIVATE 1,179.5063,Array
Fulhame,GNU 9.2,32,FIRSTPRIVATE 1,34.3572,Array
Fulhame,GNU 9.2,32,COPYPRIVATE 1,47.5228,Array
Fulhame,GNU 9.2,32,COPYIN 1,34.35,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,GNU 9.2,4,PRIVATE 1,1.4301,Array
Fulhame,GNU 9.2,4,FIRSTPRIVATE 1,1.5537,Array
Fulhame,GNU 9.2,4,COPYPRIVATE 1,3.7058,Array
Fulhame,GNU 9.2,4,COPYIN 1,2.8185,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,GNU 9.2,64,PRIVATE 1,1154.8291,Array
Fulhame,GNU 9.2,64,FIRSTPRIVATE 1,992.833,Array
Fulhame,GNU 9.2,64,COPYPRIVATE 1,1880.6124,Array
Fulhame,GNU 9.2,64,COPYIN 1,1320.2247,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,GNU 9.2,8,PRIVATE 1,109.502,Array
Fulhame,GNU 9.2,8,FIRSTPRIVATE 1,3.0092,Array
Fulhame,GNU 9.2,8,COPYPRIVATE 1,6.8987,Array
Fulhame,GNU 9.2,8,COPYIN 1,4.7729,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,AOCC 2.1,1,PRIVATE 19683,0.112,Array
ARCHER2,AOCC 2.1,1,FIRSTPRIVATE 19683,3.484,Array
ARCHER2,AOCC 2.1,1,COPYPRIVATE 19683,0.1482,Array
ARCHER2,AOCC 2.1,1,COPYIN 19683,0.1313,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,AOCC 2.1,128,PRIVATE 19683,442.7543,Array
ARCHER2,AOCC 2.1,128,FIRSTPRIVATE 19683,557.8425,Array
ARCHER2,AOCC 2.1,128,COPYPRIVATE 19683,704.6571,Array
ARCHER2,AOCC 2.1,128,COPYIN 19683,231.9541,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,AOCC 2.1,16,PRIVATE 19683,46.3946,Array
ARCHER2,AOCC 2.1,16,FIRSTPRIVATE 19683,62.214,Array
ARCHER2,AOCC 2.1,16,COPYPRIVATE 19683,221.4029,Array
ARCHER2,AOCC 2.1,16,COPYIN 19683,110.6055,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,AOCC 2.1,2,PRIVATE 19683,0.3716,Array
ARCHER2,AOCC 2.1,2,FIRSTPRIVATE 19683,3.8085,Array
ARCHER2,AOCC 2.1,2,COPYPRIVATE 19683,4.0524,Array
ARCHER2,AOCC 2.1,2,COPYIN 19683,3.9521,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
ARCHER2,AOCC 2.1,32,PRIVATE 19683,149.4157,Array
ARCHER2,AOCC 2.1,32,FIRSTPRIVATE 19683,193.2195,Array
ARCHER2,AOCC 2.1,32,COPYPRIVATE 19683,460.4299,Array
ARCHER2,AOCC 2.1,32,COPYIN 19683,172.893,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
